CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW
0,0,0,0,0,1
0,0,0,0,0,3
0,0,0,0,0,6
0,0,0,0,0,10
0,0,0,0,0,12
0,0,0,0,0,14
0,0,0,0,0,16
0,0,0,0,0,16
0,0,0,0,0,18
0,0,0,0,0,18
0,0,0,0,0,18
0,0,0,0,0,30
0,0,0,0,0,32
0,0,0,0,0,35
0,0,0,0,0,38
0,0,0,0,0,38
0,0,0,0,0,45
0,0,0,0,0,45
0,0,0,0,0,52
0,0,0,0,0,52
0,0,0,0,0,61
0,0,0,0,0,63
0,0,0,0,0,66
0,0,0,0,0,68
0,0,0,0,0,70
0,0,0,0,0,73
0,0,0,0,0,75
0,0,0,0,0,77
0,0,0,0,0,80
0,0,0,0,0,90
0,0,0,0,0,92
0,0,0,0,0,92
0,0,0,0,0,92
0,0,0,0,0,94
0,0,0,0,0,94
0,0,0,0,0,94
0,0,0,0,0,97
0,0,0,0,0,98
0,0,0,0,0,103
0,0,0,0,0,105
0,0,0,0,0,106
0,0,0,0,0,109
0,0,0,0,0,111
0,0,0,0,0,113
0,0,0,0,0,116
0,0,0,0,0,118
0,0,0,0,0,120
0,0,0,0,0,122
0,0,0,0,0,123
0,0,0,0,0,124
0,0,0,0,0,125
0,0,0,0,0,125
0,0,0,0,0,125
0,0,0,0,0,127
0,0,0,0,0,129
0,0,0,0,0,132
0,0,0,0,0,135
0,0,0,0,0,137
0,0,0,0,0,139
0,0,0,0,0,141
0,0,0,0,0,143
0,0,0,0,0,145
0,0,0,0,0,147
0,0,0,0,0,149
0,0,0,0,0,151
